file,line,function,button_text,callback_data,classification,matched_keywords
services/amount_selection_ui.py,41,,"# Callback-data for the ""❌ Cancel"" button (shared with every other payment",,KEEP_CANCEL,payment;gateway;topup
services/quantity_presets.py,124,build_keyboard,``❌ Cancel``.,,CONVERT_TO_BACK,
services/quantity_presets.py,157,build_keyboard,"InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel_purchase""),",cancel_purchase,CONVERT_TO_BACK,
services/payment_ui.py,488,invoice_keyboard,"rows.append([InlineKeyboardButton(""❌ Cancel"", callback_data=cancel_cb)])",,KEEP_CANCEL,pay 
services/payment_ui.py,554,pending_deposit_keyboard,"[InlineKeyboardButton(""❌ Cancel Deposit"", callback_data=cancel_cb)],",,KEEP_CANCEL,deposit;gateway;topup;pending
services/payment_ui.py,701,keyboard,"rows.append([InlineKeyboardButton(""❌ Cancel"", callback_data=self.cancel_cb)])",,KEEP_CANCEL,payment;pay ;invoice;gateway
services/payment_ui.py,1136,admin_review_keyboard,"row1.append(InlineKeyboardButton(""❌ Reject"", callback_data=reject_cb))",,KEEP_CANCEL,deposit;gateway
services/payment_ui.py,1471,submit_txid_prompt,"keyboard = InlineKeyboardMarkup([[InlineKeyboardButton(""❌ Cancel"", callback_data",,KEEP_CANCEL,txid;transaction id;gateway
services/payment_selection_ui.py,177,build_crypto_networks_screen,"rows.append([InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel"")])",cancel,KEEP_CANCEL,payment;gateway;crypto;topup
services/payment_selection_ui.py,252,build_mobile_money_screen,"rows.append([InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel"")])",cancel,KEEP_CANCEL,gateway;topup
services/dashboard_widgets.py,32,,"(""orders_cancelled"",  ""❌ Cancelled Orders"",       ""orders""),",,KEEP_CANCEL,pending
handlers/payment_handlers.py,703,payment_method_heleket,"rows.append([InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel"")])",cancel,KEEP_CANCEL,payment;deposit;crypto
handlers/payment_handlers.py,2536,zinipay_cancel_submit,"""❌ Cancelled. Your order is still pending — you can submit the """,,KEEP_CANCEL,pay ;txid;transaction id;pending
handlers/payment_handlers.py,2971,_binance_currency_keyboard,"return InlineKeyboardMarkup([row, [InlineKeyboardButton(""❌ Cancel"", callback_dat",cancel,KEEP_CANCEL,pay ;txid
handlers/payment_handlers.py,3179,binance_cancel_submit,"""❌ Cancelled. Your order is still pending — you can submit the Transaction ID ag",,KEEP_CANCEL,txid;transaction id;pending
handlers/payment_handlers.py,3609,_bybit_type_keyboard,"[InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel"")],",cancel,KEEP_CANCEL,payment;deposit;crypto
handlers/payment_handlers.py,3619,_bybit_network_keyboard,"rows.append([InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel"")])",cancel,KEEP_CANCEL,deposit
handlers/payment_handlers.py,4101,bybit_cancel_submit,"""❌ Cancelled. Your order is still pending — you can submit the Transaction ID ag",,KEEP_CANCEL,payment;txid;transaction id;crypto
handlers/payment_handlers.py,6092,_load_product,# Product screen keeps only quantity presets + ❌ Cancel (no Wishlist /,,CONVERT_TO_BACK,
handlers/payment_handlers.py,6130,qty_custom_prompt,"InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel_purchase""),",cancel_purchase,CONVERT_TO_BACK,
handlers/payment_handlers.py,6255,_load_wallet_balance,"InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel_purchase""),",cancel_purchase,CONVERT_TO_BACK,
handlers/payment_handlers.py,6262,_load_wallet_balance,"InlineKeyboardButton(""❌ Cancel"", callback_data=""cancel_purchase""),",cancel_purchase,KEEP_CANCEL,topup
handlers/admin_broadcast_analytics.py,997,bca_delete_ask,"InlineKeyboardButton(""❌ Cancel"",       callback_data=f""bca:analytics:{bid}""),",,CONVERT_TO_BACK,
handlers/admin_broadcast_analytics.py,1152,bca_cancel,"""❌ Cancelled."",",bca:history,CONVERT_TO_BACK,
handlers/admin_flash_sale_manager.py,457,fsm_del_ask,"[InlineKeyboardButton(""❌ Cancel"",      callback_data=f""fsm:view:{fid}"")],",,CONVERT_TO_BACK,
handlers/admin_flash_sale_manager.py,574,fsm_stats,"f""❌ Cancelled: <b>{stats['cancelled']}</b>\n\n""",,CONVERT_TO_BACK,
handlers/admin_broadcast_center.py,327,_prod_preview_kb,"[InlineKeyboardButton(""❌ Cancel"", callback_data=""acc:bc:prod:cancel"")],",acc:bc:prod:cancel,CONVERT_TO_BACK,
handlers/admin_broadcast_center.py,502,_custom_preview_kb,"[InlineKeyboardButton(""❌ Cancel"", callback_data=""acc:bc:custom:cancel"")],",acc:bc:custom:cancel,CONVERT_TO_BACK,
handlers/referral_handlers.py,224,admin_referral_amount_start,"reply_markup=InlineKeyboardMarkup([[InlineKeyboardButton(""❌ Cancel"", callback_da",admin_settings,CONVERT_TO_BACK,
handlers/withdrawal_approval.py,191,wda_start,"kb.append([InlineKeyboardButton(""❌ Cancel"", callback_data=""refer"")])",refer,KEEP_CANCEL,payment;withdraw
