file,back_buttons,distinct_destinations,sample_destinations,edit_calls,send/reply_calls
admin_broadcast_campaign_manager.py,16,5,acc:sec:broadcast;bcm:automation;bcm:campaigns:0;bcm:menu;bcm:templates:0,1,14
admin_product_clone.py,16,4,acc:root;pct:menu;pct:pick;pct:templates:0,1,16
admin_conversations.py,15,5,admin_manage_categories;admin_products;cancel_edit;cancel_edit_cat;cancel_edit_subcat,66,42
admin_file_license_manager.py,15,4,acc:root;flm:files:list:0;flm:keys:menu;flm:menu,1,18
admin_backups.py,14,5,acc:bak:import_prompt;acc:bak:sbak;acc:bak:sconfirm;acc:bak:srun;acc:sec:backups,1,5
user_handlers.py,14,3,back_to_products;main_menu;order_history,38,11
withdrawal_approval.py,14,4,rd:admin;rd:menu;wda:adm:list;wda:history,1,26
admin_handlers.py,13,7,admin_manage_inventory;admin_menu;admin_orders;admin_products;admin_users;admin_view_orders...,36,45
admin_advanced_analytics.py,10,2,aana:menu;acc:root,1,0
admin_scheduled_broadcast.py,10,4,acc:root;acc:sec:broadcast;asb:menu;asb:reports,1,27
feature_handlers.py,10,1,main_menu,1,0
admin_broadcast_analytics.py,9,4,acc:sec:broadcast;bca:history;bca:menu;bca:period_reports,1,7
referral_dashboard.py,9,4,acc:root;main_menu;rd:admin;rd:menu,2,12
admin_announcements.py,8,3,acc:root;ann:list:0;ann:menu,1,8
admin_notification_center.py,8,4,acc:root;anc:list:all:0;anc:menu;anc:settings,1,1
admin_webhook_monitor.py,8,3,acc:root;awm:list:0;awm:menu,1,0
dispute_handlers.py,8,4,admin_orders;admin_view_disputes;main_menu;order_history,11,5
admin_broadcast_types.py,7,3,abt:menu;abt:variables;acc:sec:broadcast,2,16
admin_user_profile.py,7,3,admin_menu;up:list:0:desc;up:menu,8,2
compare_handlers.py,7,1,main_menu,1,0
support_handlers.py,7,3,admin_menu;admin_tickets;support_center,20,10
admin_dashboard.py,6,4,acc:sys:backup;acc:sys:jobs;admin_menu;admin_preview,8,2
admin_dashboard_widgets.py,6,2,acc:root;adw:main:0,2,1
admin_flash_sale_manager.py,6,3,acc:root;fsm:list:all:0;fsm:menu,1,30
admin_maintenance.py,6,3,acc:root;maint:menu;maint:wl,1,6
admin_users.py,6,3,admin_menu;admin_users;usr:list:0:desc,26,12
favorites_handlers.py,6,2,fav:list:new:0;main_menu,1,2
admin_anti_spam.py,5,2,aasm:menu;acc:root,9,9
admin_broadcast_center.py,5,3,acc:bc:mkt:run:winback;acc:root;acc:sec:broadcast,3,8
admin_business_insights.py,5,2,abiz:menu;acc:root,7,1
admin_module_manager.py,5,3,acc:root;pmm:list:1;pmm:menu,7,1
admin_order_search.py,5,1,admin_menu,3,7
admin_system_tools.py,5,4,acc:root;acc:sys:backup;acc:sys:jobs;acc:system,5,0
coupon_handlers.py,5,3,admin_coupons;admin_currency;admin_settings,11,15
admin_binance.py,4,2,admin_binance_view;admin_gateways,4,16
admin_bybit.py,4,2,admin_bybit_view;admin_gateways,4,27
admin_deposit_settings.py,4,2,admin_deposit_view;admin_gateways,4,5
admin_fraud_detection.py,4,2,acc:root;fds:home,1,0
admin_manual_payments.py,4,2,admin_users;mp:list:0:desc,19,8
admin_pending_deposits.py,4,2,admin_confirm_order;pd:list:0:desc,1,2
admin_refund.py,4,3,acc:root;aref:list:all:0;aref:menu,1,10
admin_stars.py,4,2,admin_settings;admin_stars_view,4,6
analytics_handlers.py,4,2,admin_analytics;admin_menu,4,0
payment_handlers.py,4,1,main_menu,60,148
recently_viewed_handlers.py,4,1,main_menu,1,2
user_recommendations.py,4,1,main_menu,7,0
vip_handlers.py,4,2,main_menu;vip_profile,5,4
admin_audit_enhanced.py,3,2,acc:audit:page:0;acc:root,1,2
admin_bulk_users.py,3,3,acc:root;bum:filter:menu;bum:menu,1,19
admin_bundles.py,3,2,abn:menu;acc:root,5,13
admin_cryptomus.py,3,2,admin_cryptomus_view;admin_settings,3,4
admin_customer_crm.py,3,3,acc:root;crm:home;crm:tags,1,22
admin_customer_view.py,3,1,admin_users,5,5
admin_gift_cards.py,3,3,acc:gifts:menu;agc:list:0;agc:menu,6,10
admin_gift_purchase.py,3,2,acc:gifts:menu;agp:menu,2,0
admin_language.py,3,2,acc:root;alng:menu,1,5
admin_nowpayments.py,3,2,admin_gateways;admin_nowpayments_view,3,4
admin_promotions.py,3,3,acc:promo:fs_list;acc:root;acc:sec:promotions,8,20
admin_reviews.py,3,2,acc:root;arv:menu,3,0
admin_sales_forecast.py,3,3,abiz:menu;asf:menu;asf:reports,3,1
admin_wallets.py,3,2,acc:root;acc:sec:wallets,4,7
admin_zinipay.py,3,2,admin_gateways;admin_zinipay_view,3,5
reservation_handlers.py,3,1,main_menu,1,0
review_handlers.py,3,2,main_menu;my_reviews,18,3
variant_handlers.py,3,2,admin_products;admin_variants,7,9
admin_account_features.py,2,2,aaf:menu;af:menu,1,0
admin_advanced_coupons.py,2,2,acc:root;acpn:menu,1,12
admin_bulk_products.py,2,2,acc:root;bpim:menu,1,16
admin_config_handlers.py,2,2,admin_bot_config;admin_settings,2,5
admin_exchange_rate.py,2,2,acc:root;aerm:menu,8,29
admin_features.py,2,2,admin_menu;af:menu,1,0
admin_login_activity.py,2,2,acc:root;lam:home,1,0
admin_multicurrency_wallet.py,2,2,acc:root;amcw:menu,12,18
admin_performance_manager.py,2,2,pcm:cache;pcm:optim:jobs,1,0
gift_card_handlers.py,2,2,main_menu;wallet,3,8
referral_handlers.py,2,1,admin_settings,5,3
user_restock_notifications.py,2,1,acc:account,1,0
wallet_handlers.py,2,2,main_menu;wallet,2,1
wallet_multicurrency_handlers.py,2,2,mcw:overview;wallet,10,7
account_features.py,1,1,main_menu,1,1
admin_delivery_queue.py,1,1,acc:dlv:list:PENDING:0,0,0
admin_heleket.py,1,1,admin_settings,3,2
admin_integrations.py,1,1,acc:root,1,0
admin_notifications.py,1,1,acc:root,1,0
admin_quality.py,1,1,acc:qual:list:0,0,0
admin_subscription_reminders.py,1,1,acc:srm:menu,0,0
admin_subscriptions.py,1,1,acc:subs:list:cancelled:0,0,1
loyalty_handlers.py,1,1,admin_settings,9,8
user_order_timeline.py,1,1,order_history,3,2
